class_idx,accuracy,n_samples
0,0.904762,21
1,0.714286,21
2,0.571429,21
3,0.238095,21
4,0.904762,21
5,0.650000,20
6,0.761905,21
7,0.900000,20
8,1.000000,21
9,0.850000,20
10,0.857143,21
11,0.904762,21
12,0.761905,21
13,0.350000,20
14,0.428571,21
15,0.904762,21
16,0.285714,21
17,0.761905,21
18,0.800000,20
19,0.761905,21
20,0.750000,20
21,0.238095,21
22,0.809524,21
23,0.333333,21
24,0.952381,21
25,0.750000,20
26,0.523810,21
27,0.523810,21
28,0.809524,21
29,0.571429,21
30,1.000000,20
31,0.857143,21
32,0.904762,21
33,0.300000,20
34,0.904762,21
35,0.666667,21
36,0.700000,20
37,0.950000,20
38,0.571429,21
39,0.571429,21
40,0.619048,21
41,0.900000,20
42,0.350000,20
43,0.809524,21
44,0.666667,21
45,0.761905,21
46,0.952381,21
47,0.666667,21
48,0.380952,21
49,0.500000,20
50,0.800000,20
51,0.380952,21
52,0.809524,21
53,0.700000,20
54,0.809524,21
55,0.952381,21
56,0.571429,21
57,0.333333,21
58,1.000000,20
59,0.380952,21
60,0.500000,20
61,0.619048,21
62,0.850000,20
63,0.857143,21
64,0.571429,21
65,0.150000,20
66,0.857143,21
67,0.600000,20
68,0.600000,20
69,0.750000,20
70,0.600000,20
71,1.000000,20
72,0.850000,20
73,0.761905,21
74,0.750000,20
75,0.714286,21
76,0.714286,21
77,0.619048,21
78,0.666667,21
79,0.761905,21
80,0.904762,21
81,0.700000,20
82,0.857143,21
83,0.714286,21
84,0.150000,20
85,0.750000,20
86,0.714286,21
87,0.666667,21
88,0.476190,21
89,0.857143,21
90,0.850000,20
91,0.700000,20
92,0.809524,21
93,0.400000,20
94,0.500000,20
95,0.714286,21
96,1.000000,20
97,0.650000,20
98,0.900000,20
99,0.809524,21
100,0.904762,21
101,0.900000,20
102,0.476190,21
103,0.857143,21
104,0.500000,20
105,0.571429,21
106,0.809524,21
107,0.714286,21
108,0.476190,21
109,0.904762,21
110,0.857143,21
111,0.750000,20
112,0.714286,21
113,0.950000,20
114,0.700000,20
115,0.904762,21
116,0.700000,20
117,0.857143,21
118,0.857143,21
119,0.900000,20
120,0.857143,21
121,0.714286,21
122,0.700000,20
123,0.250000,20
124,0.750000,20
125,0.523810,21
126,0.666667,21
127,0.666667,21
128,0.857143,21
129,0.904762,21
130,0.523810,21
131,0.952381,21
132,0.666667,21
133,0.904762,21
134,0.550000,20
135,0.400000,20
136,0.619048,21
137,0.714286,21
138,0.428571,21
139,0.428571,21
140,0.600000,20
141,0.523810,21
142,0.904762,21
143,0.619048,21
144,0.952381,21
145,0.850000,20
146,0.600000,20
147,0.904762,21
148,0.761905,21
149,0.650000,20
150,0.666667,21
151,0.800000,20
152,0.619048,21
153,0.476190,21
154,0.857143,21
155,0.571429,21
156,0.500000,20
157,0.904762,21
158,0.904762,21
159,0.800000,20
160,0.428571,21
161,0.900000,20
162,0.714286,21
163,0.950000,20
164,0.500000,20
165,0.952381,21
166,0.666667,21
167,0.809524,21
168,0.809524,21
169,0.809524,21
170,0.666667,21
171,0.550000,20
172,0.523810,21
173,0.809524,21
174,0.750000,20
175,0.850000,20
176,0.428571,21
177,0.750000,20
178,0.650000,20
179,0.666667,21
180,0.857143,21
181,0.857143,21
182,0.952381,21
183,0.550000,20
184,0.238095,21
185,0.952381,21
186,0.850000,20
187,0.500000,20
188,0.750000,20
189,0.550000,20
190,0.700000,20
191,0.761905,21
192,0.904762,21
193,0.700000,20
194,0.750000,20
195,0.619048,21
196,0.952381,21
197,0.714286,21
198,0.476190,21
199,0.500000,20
200,0.850000,20
201,0.857143,21
202,0.300000,20
203,0.761905,21
204,0.952381,21
205,0.666667,21
206,0.800000,20
207,0.904762,21
208,0.809524,21
209,0.619048,21
210,0.380952,21
211,0.666667,21
212,0.761905,21
213,0.809524,21
214,0.619048,21
215,0.809524,21
216,0.761905,21
217,0.714286,21
218,0.500000,20
219,0.857143,21
220,0.700000,20
221,0.476190,21
222,0.600000,20
223,0.650000,20
224,0.857143,21
225,0.950000,20
226,0.523810,21
227,0.809524,21
228,0.700000,20
229,0.571429,21
230,0.904762,21
231,1.000000,20
232,0.809524,21
233,0.300000,20
234,0.857143,21
235,0.619048,21
236,0.666667,21
237,0.650000,20
238,0.714286,21
239,0.750000,20
240,0.428571,21
241,0.095238,21
242,0.900000,20
243,0.750000,20
244,0.761905,21
245,0.666667,21
246,0.904762,21
247,0.750000,20
248,0.600000,20
249,0.550000,20
250,0.700000,20
251,0.904762,21
252,0.850000,20
253,0.952381,21
254,0.850000,20
255,0.857143,21
256,0.714286,21
257,0.550000,20
258,0.904762,21
259,0.714286,21
260,0.952381,21
261,0.666667,21
262,0.761905,21
263,0.650000,20
264,0.850000,20
265,0.850000,20
266,0.047619,21
267,0.571429,21
268,0.809524,21
269,0.800000,20
270,0.900000,20
271,0.809524,21
272,0.850000,20
273,1.000000,21
274,0.428571,21
275,0.428571,21
276,0.952381,21
277,0.714286,21
278,0.666667,21
279,0.400000,20
280,0.650000,20
281,0.809524,21
282,0.380952,21
283,0.666667,21
284,0.952381,21
285,0.428571,21
286,0.571429,21
287,0.750000,20
288,0.761905,21
289,0.904762,21
290,0.761905,21
291,0.809524,21
292,0.761905,21
293,0.904762,21
294,0.857143,21
295,0.952381,21
296,0.666667,21
297,0.800000,20
298,0.650000,20
299,0.700000,20
300,0.666667,21
301,0.809524,21
302,0.285714,21
303,0.850000,20
304,0.285714,21
305,0.800000,20
306,0.714286,21
307,0.750000,20
308,0.952381,21
309,0.714286,21
310,0.700000,20
311,0.666667,21
312,0.285714,21
313,0.666667,21
314,0.850000,20
315,0.619048,21
316,0.666667,21
317,0.809524,21
318,0.952381,21
319,0.900000,20
320,0.761905,21
321,0.428571,21
322,0.800000,20
323,0.850000,20
324,0.750000,20
325,0.800000,20
326,0.400000,20
327,0.428571,21
328,0.809524,21
329,0.850000,20
330,0.857143,21
331,0.380952,21
332,0.600000,20
333,0.650000,20
334,0.550000,20
335,0.714286,21
336,0.619048,21
337,0.285714,21
338,0.450000,20
339,0.809524,21
340,0.904762,21
341,0.700000,20
342,0.571429,21
343,0.523810,21
344,0.650000,20
345,0.761905,21
346,0.900000,20
347,0.238095,21
348,0.809524,21
349,0.476190,21
350,0.700000,20
351,0.761905,21
352,0.714286,21
353,0.619048,21
354,0.857143,21
355,0.857143,21
356,0.850000,20
357,0.750000,20
358,0.476190,21
359,0.900000,20
360,0.666667,21
361,0.650000,20
362,0.900000,20
363,0.380952,21
364,0.500000,20
365,0.238095,21
366,0.571429,21
367,0.800000,20
368,0.666667,21
369,0.619048,21
370,0.761905,21
371,0.550000,20
372,0.857143,21
373,0.600000,20
374,0.666667,21
375,0.700000,20
376,0.666667,21
377,0.400000,20
378,0.450000,20
379,0.476190,21
380,0.571429,21
381,0.761905,21
382,0.809524,21
383,0.476190,21
384,0.700000,20
385,0.476190,21
386,0.600000,20
387,0.850000,20
388,0.523810,21
389,0.700000,20
390,0.476190,21
391,0.714286,21
392,0.428571,21
393,0.950000,20
394,0.238095,21
395,0.904762,21
396,0.300000,20
397,0.650000,20
398,0.428571,21
399,0.666667,21
400,0.523810,21
401,0.857143,21
402,0.900000,20
403,1.000000,21
404,0.800000,20
405,0.571429,21
406,0.904762,21
407,0.450000,20
408,0.428571,21
409,0.400000,20
410,0.809524,21
411,0.761905,21
412,0.428571,21
413,0.666667,21
414,0.380952,21
415,0.714286,21
416,0.666667,21
417,0.809524,21
418,0.761905,21
419,0.619048,21
420,0.476190,21
421,0.300000,20
422,0.428571,21
423,0.666667,21
424,0.250000,20
425,0.800000,20
426,0.761905,21
427,0.476190,21
428,0.761905,21
429,0.950000,20
430,0.750000,20
431,0.904762,21
432,0.666667,21
433,0.809524,21
434,0.500000,20
435,0.952381,21
436,0.476190,21
437,0.619048,21
438,0.619048,21
439,0.476190,21
440,0.761905,21
441,0.350000,20
442,0.666667,21
443,0.666667,21
444,0.476190,21
445,0.571429,21
446,0.714286,21
447,0.952381,21
448,0.761905,21
449,1.000000,21
450,0.750000,20
451,0.619048,21
452,0.450000,20
453,0.750000,20
454,0.650000,20
455,0.619048,21
456,0.238095,21
457,0.380952,21
458,0.761905,21
459,0.904762,21
460,0.952381,21
461,0.900000,20
462,0.428571,21
463,0.190476,21
464,0.700000,20
465,0.571429,21
466,0.650000,20
467,0.238095,21
468,0.650000,20
469,0.714286,21
470,0.190476,21
471,0.650000,20
472,0.380952,21
473,0.809524,21
474,0.761905,21
475,0.857143,21
476,0.450000,20
477,0.285714,21
478,0.428571,21
479,0.333333,21
480,0.809524,21
481,0.476190,21
482,0.809524,21
483,0.250000,20
484,1.000000,21
485,0.476190,21
486,0.714286,21
487,0.600000,20
488,0.650000,20
489,0.400000,20
490,0.950000,20
491,0.650000,20
492,0.600000,20
493,0.666667,21
494,0.476190,21
495,0.857143,21
496,0.750000,20
497,0.900000,20
498,0.650000,20
499,0.750000,20
